"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"33",241844,208999.380867336,210106.303583005,184452.092826419,271804.380693846
"34",232836,228839.061002451,222404.972667482,190229.066720601,211953.031404051
"35",253138,224799.904433906,226417.832340634,181895.510834449,264293.169398205
"36",263924,239292.366905397,236768.737403201,196626.839308716,258040.65862102
"37",241700,248373.681932799,247291.580499909,193697.031801388,220459.971840516
"38",283405,236022.515955569,245077.558341903,195087.011377015,319628.414419343
"39",262729,264230.463109139,259948.896717251,192264.990833055,241495.638993452
"40",217025,253418.825678965,260995.003848989,174097.218380138,189865.537549269
"41",242456,224747.315239426,243854.085702755,172736.917797861,264189.898846556
"42",239214,240334.174424853,243270.623203371,184763.660153979,220021.244794668
"43",268285,238511.249172665,241652.763845677,201162.103895861,297455.421854239
"44",283294,257704.28903921,251973.457405283,203795.517512996,284328.361105291
"45",274542,269087.818120137,264120.717003628,198123.236575819,253701.352994645
"46",292422,265390.06276347,268140.620938246,198112.647594199,298787.920411676
"47",305384,278452.880637928,277553.592529515,183797.611655424,302912.433544784
"48",299556,288981.027101425,288349.679080514,206017.621122609,279399.013830306
"49",286610,287520.519570155,292681.241500554,212909.951254472,265486.747886723
"50",280178,280755.237773473,290292.39412703,196642.722341146,259847.246285691
"51",187374,277376.004475356,286330.022522359,170805.183094305,135344.667288031
"52",91314,216833.684974201,247804.373424125,123485.547812341,-10114.5047300047
"53",180242,149497.84604045,186886.105841573,108895.517770021,215189.682192167
"54",196546,199503.329424252,184247.232326502,118343.310621698,199930.931296573
"55",266162,207431.231257722,188977.084691703,155577.139501636,312147.700374995
"56",244700,251579.050510948,218950.976397987,164966.757855724,222185.874554724
"57",262452,239588.694585287,228922.361649204,161474.731217908,268571.346673914
"58",276445,251984.403045315,241923.232535826,166380.134984743,275705.366641773
"59",271385,262684.375803166,255313.426713901,158953.608645715,251475.924130784
"60",284904,261346.952287666,261529.350989398,173116.768871289,283359.311349041
"61",263767,271673.655569316,270588.015027443,177337.787381513,242539.040229702
"62",306291,259701.559702432,267901.926890351,127408.420857449,329108.978663309
"63",282512,288214.72631472,282803.342753452,125245.708784144,261239.815684835
"64",240594,275206.812540186,282660.6650886,122561.157996688,214938.997879936
"65",233395,248732.355214364,266266.007139414,150049.407883685,212869.067300071
"66",236614,242830.266711636,253444.550769041,170496.534125525,221701.170307875
"67",318011,243582.792119289,246860.063454858,181052.661668709,371122.96119306
"68",274873,296032.60509566,274501.536428891,177078.221636777,244598.806306259
"69",297374,270874.22719292,274614.620978148,178347.248268889,313027.328469677
"70",283997,286228.185034414,283437.365674258,189006.444242233,262630.958299208
"71",290756,279051.48009308,283625.967831535,162888.312259493,279504.902187162
"72",308387,284203.897052455,286370.723160412,195837.872935696,314273.944107182
"73",278441,296728.042921502,294907.422005674,200524.490574397,256304.29009916
"74",293567,278744.118773367,288475.308345011,186980.749640253,294809.73337948
"75",301940,288633.990437316,290428.35130395,179197.020423741,292687.784369515
"76",264780,294844.555084921,294879.474307144,152496.210028457,240345.346763213
"77",239301,271464.526593396,283143.676182608,172013.846150431,217400.650231217
"78",295946,253767.300918582,266058.31818829,149978.280868455,325089.079276056
"79",296322,288880.016759993,277652.06915024,203269.461235675,279165.409424485
"80",283219,290146.537128549,284884.741062443,206576.55941096,261955.413082561
"81",305251,282432.573436377,284208.046073974,184901.290258749,319936.907673398
"82",296050,297014.99938634,292365.601122741,192065.358619346,275136.797088262
"83",308798,292160.900620042,293772.221296622,179376.777719838,305975.954526465
"84",326213,301094.001791253,299591.373376974,196694.020863762,331686.769269744
"85",261130,313642.508937105,309923.187825922,206050.11361095,225691.042213564
"86",270949,272714.796690525,290918.86317581,182796.36365918,263661.719947942
"87",273358,277491.533640833,283122.864434408,149135.213175426,257744.471978282
"88",261245,278129.521810692,279294.943171355,159317.477460959,240037.892054942
"89",210604,269486.110619168,272242.881897092,173514.547720515,169694.554110086
"90",219068,235039.781681483,248231.509048909,140312.980765238,209934.621664191
"91",313178,237072.313508305,236847.942365416,160523.56412202,346827.792079808
"92",266275,296278.681450467,266501.867775318,186819.202951294,230970.830130786
"93",286215,267914.847241186,266380.306870661,175508.562418608,296641.182070885
"94",277722,280773.304894311,274063.319140634,186028.363093308,256926.807960472
"95",301142,275980.96017966,275455.32308605,170872.73712801,318698.842117473
"96",333316,291612.666069396,285417.295619582,176468.794140449,360142.732162253
"97",289693,314117.154245466,304023.033725669,181157.978960977,258499.133078602
"98",323940,288239.187689514,298424.570510503,178887.185923845,360158.241004387
"99",314727,310939.800894912,308325.847834315,182997.603629792,293848.441684914
"100",268504,306765.275513512,310793.60479943,151065.440734025,235176.452431793
"101",291884,277558.356028178,294319.723059881,171471.532936819,309357.831901099
"102",242072,291606.062118986,293346.060961167,182735.841408618,204405.371444597
"103",329103,258933.420906543,273372.462708143,173103.871243874,379212.977011001
"104",352328,313655.752805753,295021.985616299,200064.428339276,369480.276831263
"105",344556,331137.14633041,317289.993146638,187982.524630727,323901.89995072
"106",323853,329090.838010173,327877.197076196,192102.447146088,301636.614137847
"107",316740,317726.235339007,326294.226560473,165823.297139921,296234.580850411
"108",343562,313939.022732677,322559.493345155,191189.428355611,368169.388927859
"109",322776,331957.848970747,330711.361941475,199335.926674805,301546.77224483
"110",322677,319981.610327785,327607.564243127,188419.928008934,305202.897450608
"111",293155,320319.813466368,325671.936464787,187958.822573221,271377.435789549
"112",231107,301272.13348838,313003.824855827,149882.76372049,191320.295347589
"113",237390,259352.440839159,281122.08829955,135396.045926096,225588.898586212
"114",281627,259402.93914751,264079.478541829,137859.330363821,315794.987930984
"115",272754,285278.072369394,270872.245153245,178915.780394284,251893.030608874
"116",277091,278924.123833426,271572.276780803,183187.139206032,263228.228798406
"117",281355,280882.013475922,273687.394879599,174334.697626143,267420.697467464
"118",215943,283135.258004436,276639.049395935,164817.122108506,150469.114997005
"119",254348,239920.72994323,252995.79860372,135728.77674688,299939.097608452
"120",264637,261682.33639536,253485.253988492,146713.76200959,258023.216902245
"121",300931,267381.057511016,257787.184307713,182130.063079679,343281.989130153
"122",293328,290820.249982213,274536.179345238,186164.803640756,273944.528901815
"123",264830,287286.115068806,281815.775328034,139297.475244447,241646.366081652
