"","OBS","ARIMA","ETS","FTS_SA"
"277",95891,92273.820606892,96184.4797554307,87051.1861988251
"278",85853,94167.5353105442,96285.6991151673,98392.5302355125
"279",92818,87824.0264649095,92442.4049547039,75628.0955551854
"280",34745,92113.6996670926,92802.8434204973,97761.3748115065
"281",86809,54077.3820642773,70430.8224985598,1227.09915364352
"282",94046,85479.4889662976,77011.0147021126,108745.459089126
"283",90173,90424.0450213898,83848.3642046896,100459.396129039
"284",94354,88403.1852204082,86520.7449530237,90617.2496519899
"285",109122,91404.3260844171,89780.6598378144,99577.2153820442
"286",113524,101528.454968975,97518.3752652438,117076.0217698
"287",103721,105515.071996436,103960.323681838,118820.368951582
"288",90149,100232.85961843,104084.062474388,100068.494091727
"289",73912,91823.1227848892,98879.6921066706,78935.1323406289
"290",74442,80918.3227673528,89381.8785675922,58315.5235913478
"291",60891,80255.4032944033,83782.711947732,66781.4385928539
"292",48078,70517.2835093712,75088.5310306282,46005.0243005978
"293",62001,60713.6433982705,64789.7071256236,35603.3112443978
"294",58377,68033.943698606,63911.2548354096,60044.7496528633
"295",48433,64783.4464060906,61964.4168390367,53096.5125956519
"296",49965,57328.5571967148,56905.87081407,40861.2533959904
"297",51835,57051.0666954947,54409.9071402611,47957.4319760091
"298",59955,57256.6509499289,53611.7504125929,53157.9930660255
"299",56165,61806.9298216619,56282.7875188014,64740.7166077831
"300",49362,59050.7192650446,56440.9066091174,54204.9607531109
"301",54233,54166.6271273609,53890.9135139408,44140.3650670851
"302",53462,56672.243008757,54227.2187873331,53560.3472836197
"303",68313,55813.935994926,54132.7807146982,52314.818179257
"304",64208,65227.5726756656,59852.5247750689,76786.1642115125
"305",60320,62976.9341428423,61751.5437547793,61799.1316118593
"306",66774,60601.2280983361,61399.6607846754,57431.5605487446
"307",64169,64799.1461209565,63695.343195711,66823.2819423935
"308",70048,63373.3427672176,64085.039128015,61738.9012913532
"309",66974,67349.0344526311,66610.2991995817,75713.7072011497
"310",78031,65719.7137523892,66957.8623572605,64672.7213302132
"311",78247,73162.1016764307,71471.779095405,85242.5911021301
"312",71680,74006.5159332636,74314.7745751331,77067.7793185132
"313",68584,70305.6922837074,73497.6550776044,68397.4445759553
"314",61757,68470.7810218151,71793.7139001206,65741.6779475302
"315",79950,64003.6618488029,68096.245823027,54343.8461543463
"316",69893,75627.2614717225,72913.8739550904,84959.1577792402
"317",84430,69646.3392964918,71945.9761717592,60422.0958705651
"318",72492,79228.7312962665,77009.6828713731,98844.7729046217
"319",53832,72139.2791357368,75460.4243433463,62064.0527921383
"320",72434,59935.7014793376,67254.0823533456,37813.789794791
"321",69215,71271.3464896808,69474.8893599334,72821.9859368588
"322",63619,69325.1173258354,69579.9535457976,63599.5687518246
"323",66435,65634.1991569267,67467.0934362804,59759.7959854026
"324",67428,67192.7496633938,67271.1231794643,65089.6721157128
"325",58333,67735.53667436,67537.5975866098,67535.1751364228
