time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/68;28928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/68;25923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/68;23535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/69;22599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/69;26519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/69;31635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/69;30742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/69;33115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/69;31539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/69;35174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/69;30292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/69;33316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/69;26461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/69;25069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/69;27239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/70;28789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/70;29623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/70;33665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/70;35810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/70;33531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/70;36615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/70;37220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/70;32557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/70;36459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/70;39353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/70;39133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/70;33334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/71;28115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/71;33972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/71;43812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/71;43658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/71;45828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/71;46706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/71;48393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/71;46518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/71;41009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/71;48993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/71;46108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/71;42976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/72;35352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/72;47435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
