date;conf_acu;target;deaths_acu;deaths_inc
28/10/2020;161161;807;8587;12
29/10/2020;161740;579;8599;12
30/10/2020;162402;662;8609;10
31/10/2020;162893;491;8627;18
01/11/2020;162977;84;8632;5
02/11/2020;163039;62;8638;6
03/11/2020;163156;117;8643;5
04/11/2020;163642;486;8667;24
05/11/2020;164222;580;8687;20
06/11/2020;165273;1051;8711;24
07/11/2020;165922;649;8724;13
08/11/2020;166333;411;8732;8
09/11/2020;166540;207;8740;8
10/11/2020;167233;693;8763;23
11/11/2020;168093;860;8773;10
12/11/2020;168880;787;8794;21
13/11/2020;169710;830;8805;11
14/11/2020;170553;843;8815;10
15/11/2020;170860;307;8827;12
16/11/2020;171216;356;8838;11
17/11/2020;171890;674;8854;16
18/11/2020;172716;826;8873;19
19/11/2020;173624;908;8890;17
20/11/2020;174312;688;8899;9
21/11/2020;175258;946;8920;21
22/11/2020;175730;472;8923;3
23/11/2020;176158;428;8926;3
24/11/2020;176939;781;8951;25
25/11/2020;178086;1147;8971;20
26/11/2020;178639;553;8987;16
27/11/2020;179308;669;8999;12
28/11/2020;181392;2084;9019;20
29/11/2020;181841;449;9030;11
30/11/2020;182406;565;9037;7
01/12/2020;184259;1853;9056;19
02/12/2020;185607;1348;9082;26
03/12/2020;187038;1431;9098;16
04/12/2020;188132;1094;9119;21
05/12/2020;189650;1518;9140;21
06/12/2020;190415;765;9148;8
07/12/2020;191161;746;9170;22
08/12/2020;192397;1236;9186;16
09/12/2020;193530;1133;9200;14
10/12/2020;195118;1588;9229;29
11/12/2020;197063;1945;9244;15
12/12/2020;198426;1363;9271;27
13/12/2020;198684;258;9284;13
14/12/2020;199046;362;9299;15
15/12/2020;199780;734;9324;25
16/12/2020;201851;2071;9339;15
17/12/2020;203497;1646;9361;22
18/12/2020;205262;1765;9383;22
19/12/2020;207008;1746;9418;35
20/12/2020;207426;418;9435;17
21/12/2020;208135;709;9443;8
22/12/2020;210081;1946;9459;16
23/12/2020;211996;1915;9487;28
24/12/2020;213453;1457;9523;36
25/12/2020;214562;1109;9544;21
26/12/2020;214949;387;9560;16
27/12/2020;215552;603;9571;11
28/12/2020;215994;442;9588;17
29/12/2020;217772;1778;9612;24
30/12/2020;220284;2512;9632;20
31/12/2020;222166;1882;9654;22
01/01/2021;222993;827;9666;12
02/01/2021;223325;332;9674;8
03/01/2021;223540;215;9679;5
04/01/2021;223845;305;9691;12
05/01/2021;225336;1491;9709;18
06/01/2021;226940;1604;9731;22
07/01/2021;228451;1511;9763;32
08/01/2021;229701;1250;9789;26
09/01/2021;230891;1190;9826;37
10/01/2021;232037;1146;9840;14
11/01/2021;232756;719;9851;11
12/01/2021;234238;1482;9889;38
13/01/2021;236041;1803;9919;30
14/01/2021;237453;1412;9946;27
