time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/06/2015;13,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/06/2015;12,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/06/2015;13,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/06/2015;12,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2015;12,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/07/2015;12,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/07/2015;12,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/07/2015;11,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/07/2015;11,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/07/2015;11,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/07/2015;11,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/07/2015;11,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/07/2015;11,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/07/2015;11,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/07/2015;11,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2015;11,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/07/2015;11,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/07/2015;10,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/07/2015;10,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/07/2015;10,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/07/2015;10,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/07/2015;10,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/07/2015;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/07/2015;10,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/07/2015;10,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/07/2015;10,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2015;10,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/08/2015;10,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/08/2015;10,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/08/2015;10,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/08/2015;10,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/08/2015;9,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/08/2015;9,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/08/2015;9,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/08/2015;9,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/08/2015;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/08/2015;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/08/2015;9,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/08/2015;8,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/08/2015;8,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/2015;8,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/08/2015;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/08/2015;7,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/08/2015;7,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/08/2015;8,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/2015;8,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/08/2015;9,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2015;9,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/09/2015;8,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/09/2015;8,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/09/2015;8,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/09/2015;8,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/09/2015;8,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/09/2015;8,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/09/2015;7,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/09/2015;7,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/09/2015;7,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/09/2015;7,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/09/2015;8,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
