;MGLU3.SA.Close
15/12/2015;0,1375
16/12/2015;0,143437
17/12/2015;0,165625
18/12/2015;0,164062
21/12/2015;0,157812
22/12/2015;0,17
23/12/2015;0,184375
28/12/2015;0,253125
29/12/2015;0,280468
30/12/2015;0,275781
04/01/2016;0,280468
05/01/2016;0,283281
06/01/2016;0,25875
07/01/2016;0,224375
08/01/2016;0,225312
11/01/2016;0,225312
12/01/2016;0,2125
13/01/2016;0,211093
14/01/2016;0,221718
15/01/2016;0,225
18/01/2016;0,221875
19/01/2016;0,217187
20/01/2016;0,215625
21/01/2016;0,214062
22/01/2016;0,199218
26/01/2016;0,200156
27/01/2016;0,202812
28/01/2016;0,200781
29/01/2016;0,221093
01/02/2016;0,227343
02/02/2016;0,21875
03/02/2016;0,226562
04/02/2016;0,227343
05/02/2016;0,215937
10/02/2016;0,21
11/02/2016;0,197812
12/02/2016;0,237968
15/02/2016;0,271093
16/02/2016;0,297343
17/02/2016;0,264843
18/02/2016;0,278593
19/02/2016;0,28125
22/02/2016;0,285312
23/02/2016;0,296718
24/02/2016;0,296875
25/02/2016;0,2925
26/02/2016;0,296875
29/02/2016;0,307812
01/03/2016;0,325
02/03/2016;0,345468
03/03/2016;0,393125
04/03/2016;0,395312
07/03/2016;0,395
08/03/2016;0,390468
09/03/2016;0,417187
10/03/2016;0,424218
11/03/2016;0,422031
14/03/2016;0,4375
15/03/2016;0,431718
16/03/2016;0,44625
17/03/2016;0,447031
18/03/2016;0,429687
21/03/2016;0,466562
22/03/2016;0,479687
23/03/2016;0,49375
24/03/2016;0,49375
28/03/2016;0,465937
29/03/2016;0,472187
30/03/2016;0,475
31/03/2016;0,457031
01/04/2016;0,463593
04/04/2016;0,451406
05/04/2016;0,442343
06/04/2016;0,429687
07/04/2016;0,425781
08/04/2016;0,44375
11/04/2016;0,448281
12/04/2016;0,454375
13/04/2016;0,445937
14/04/2016;0,446875
15/04/2016;0,445312
18/04/2016;0,448437
19/04/2016;0,449375
20/04/2016;0,453906
22/04/2016;0,450625
25/04/2016;0,447343
26/04/2016;0,453125
27/04/2016;0,54
28/04/2016;0,506093
29/04/2016;0,500468
02/05/2016;0,545312
03/05/2016;0,538906
04/05/2016;0,500781
05/05/2016;0,445312
06/05/2016;0,53125
09/05/2016;0,547656
10/05/2016;0,546875
11/05/2016;0,551562
12/05/2016;0,539062
13/05/2016;0,525468
16/05/2016;0,5325
17/05/2016;0,534531
18/05/2016;0,544218
19/05/2016;0,538906
20/05/2016;0,546875
23/05/2016;0,527343
24/05/2016;0,54
25/05/2016;0,53125
27/05/2016;0,525
30/05/2016;0,538593
31/05/2016;0,543125
01/06/2016;0,528593
