time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/06/2015;53876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/06/2015;53689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/06/2015;53348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/06/2015;53138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/06/2015;53702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/06/2015;53249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/06/2015;54239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/06/2015;53749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/06/2015;53864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/06/2015;53772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/06/2015;53843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/06/2015;53176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/06/2015;54017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/06/2015;53014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2015;53081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/07/2015;52758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/07/2015;53106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/07/2015;52519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/07/2015;52149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/07/2015;52344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/07/2015;51782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/07/2015;52591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/07/2015;53119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/07/2015;53239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/07/2015;52902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2015;53070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/07/2015;52342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/07/2015;51600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/07/2015;51474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/07/2015;50916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/07/2015;49807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/07/2015;49246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/07/2015;48736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/07/2015;49602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/07/2015;50245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/07/2015;49897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2015;50865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/08/2015;50138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
